周开始,周结束,主交付物,代码小时,学习小时,打磨小时,算法小时,求职小时,成果链接,复盘备注
2026-05-25,2026-05-31,初始化 GitHub 学习仓库并完成 5 个 Python 文本处理练习,,,,,,,
2026-06-01,2026-06-07,完成 20 个 Python 小练习并至少 5 个有 pytest,,,,,,"python-foundations/practice；learning-log/weekly_review/第二周复盘.md","实际证据：practice 15 passed；部分任务提前进入 first-CLI；小时数未记录"
2026-06-08,2026-06-14,完成 CLI 文本总结器骨架和 mock LLM 接口,,,,,,python-foundations/first-CLI,"已提前启动；当期证据 first-CLI 11 passed；后续收敛到 30 passed / 1 xfailed"
2026-06-15,2026-06-21,完成 CLI 文本总结器 v1 和测试结构,3,5,1,2,3,"python-foundations/first-CLI；week-05/type-practice.ts；learning-log/weekly_review/第四周复盘.md","14 小时；first-CLI 30 passed / 1 xfailed；practice 15 passed；TypeScript 契约和运行时校验已启动；里程碑待推送"
2026-06-22,2026-06-28,完成 AI 学习助手 Next.js 前端雏形,,,,,,this-week.md,"主交付物：输入/模式/提交与 idle-loading-success-error 四状态；需两个证据"
2026-06-29,2026-07-05,完成 mock 全流程：前端提交到 API route 再返回总结,,,,,,,"两周技术里程碑 v0.1：功能 + 验证 + README"
2026-07-06,2026-07-12,接入真实 LLM API 并返回结构化总结,,,,,,,"真实 API 与普通单元测试分层；不在测试中调用真实网络"
2026-07-13,2026-07-19,完成总结功能 v2：输入校验 结构化结果 调用日志,,,,,,,"四周可复现版本 v0.2：补 demo/失败案例/架构图/简历 bullet/5 分钟讲解"
2026-07-20,2026-07-26,完成基于当前文本的问答功能,,,,,,,"不扩展到完整 RAG；先完成当前文本边界"
2026-07-27,2026-08-02,完成历史记录和本地持久化,,,,,,,"两周技术里程碑 v0.3：问答 + 历史记录"
2026-08-03,2026-08-09,完成 README 架构图 测试记录和失败案例整理,,,,,,,"发布候选：从干净 clone 重跑安装/启动/核心流程"
2026-08-10,2026-08-16,完成 AI 学习助手 GitHub 展示版和第一次项目复盘,,,,,,,"四周可复现作品集 v1.0：demo/失败案例/简历 bullet/5 分钟讲解全部验收"
