技能,类别,目标水平,当前水平,证据,下一步行动,截止日期
Python 基础,工程,达到面试可用水平,,,,2026-07-31
数据结构基础,科班基础,能用项目例子解释数组/字符串/哈希表/栈/队列,,,,2026-07-31
pytest,工程,能测试核心逻辑,,,,2026-07-31
FastAPI,后端,能构建接近真实项目的 API,,,,2026-10-31
TypeScript,前端,能写类型清楚的 UI 和 API 调用,,,,2026-07-31
Next.js,前端,能完成作品集 Web App,,,,2027-04-30
Git/GitHub,工作流,能维护清晰公开仓库和 PR,,,,2026-07-31
LLM API,AI,掌握流式输出、结构化输出和工具调用,,,,2026-10-31
Embedding,AI,能解释并实现,,,,2026-09-30
RAG,AI,能构建和评估,,,,2026-10-31
向量数据库,AI,能使用 Chroma 或 FAISS,,,,2026-10-31
计算机网络基础,科班基础,能解释 HTTP/状态码/CORS/DNS/HTTPS 并用于项目排错,,,,2026-10-31
数据库基础,科班基础,能设计基础表结构并解释索引/事务,,,,2026-10-31
LangGraph,Agent,能构建有状态 Agent,,,,2027-01-31
Agent 安全,Agent,掌握工具白名单、日志、超时和人工确认,,,,2027-01-31
操作系统基础,科班基础,能解释进程/线程/并发/文件/环境变量并用于 Agent 后端,,,,2027-01-31
SQL/数据库,后端,能完成基础应用持久化,,,,2027-02-28
部署,DevOps,前端和后端都能部署,,,,2027-04-30
算法面试基础,科班基础,能完成常见数组/哈希/双指针/树/图/DP 基础题,,,,2027-04-30
面试表达,求职,能完成 5 分钟项目讲解,,,,2027-04-30
